Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
ENSG00000000003	TSPAN6	209108_at	0.834704839934293	-0.444655203548556	-0.1
ENSG00000000005	TNMD	220065_at	NA	-4.04021192385474	-0.3
ENSG00000000419	DPM1	202673_at	0.906982160951826	-0.270559031124786	0
ENSG00000000457	SCYL3	205607_s_at	0.422994482250158	-1.46059705723199	-0.2
ENSG00000000460	C1orf112	220840_s_at	NA	-0.677550223842107	0
ENSG00000000938	FGR	208438_s_at	0.669957530106368	0.838451890580491	0.2
ENSG00000000971	CFH	213800_at	0.483022138903084	1.30454134916589	0.5
ENSG00000001036	FUCA2	223120_at	NA	-1.99998279876568	-0.2
ENSG00000001084	GCLC	202923_s_at	0.920024924383483	0.233233293278139	0
ENSG00000001167	NFYA	204108_at	NA	1.46903708623234	0.1
ENSG00000001460	STPG1	227694_at	0.610199418015983	0.974319939305529	0.1
ENSG00000001461	NIPAL3	225876_at	NA	0.90060852902715	0.1
ENSG00000001497	LAS1L	208117_s_at	NA	1.63267046378939	0.2
ENSG00000001561	ENPP4	204160_s_at	0.924772701174021	0.219188631221605	0
ENSG00000001617	SEMA3F	35666_at	0.0695252719086365	3.18569656639982	0.4
ENSG00000001626	CFTR	205043_at	0.829877804474861	-0.459740965564343	-0.1
ENSG00000001629	ANKIB1	224682_at	NA	-0.238600314777	0
ENSG00000002016	RAD52	205647_at	0.166217647183799	2.42085294017129	0.5
ENSG00000002079	MYH16	1564072_at	NA	-1.11335817965633	-0.1
ENSG00000002330	BAD	209364_at	NA	-0.798606343129659	-0.1
ENSG00000002549	LAP3	217933_s_at	0.75874081727415	-0.618580793618937	-0.1
ENSG00000002586	CD99	201029_s_at	0.611115549515736	0.972284228381138	0.2
ENSG00000002587	HS3ST1	205466_s_at	0.574398467077152	1.07592219583495	0.3
ENSG00000002726	AOC1	203559_s_at	NA	-0.410962482813717	0
ENSG00000002745	WNT16	221113_s_at	NA	-1.62200392313182	-0.1
ENSG00000002746	HECW1	215584_at	NA	0.395145528156963	0
ENSG00000002834	LASP1	200618_at	NA	-0.899457727632482	-0.1
ENSG00000002919	SNX11	53912_at	NA	1.12107980305317	0.1
ENSG00000002933	TMEM176A	218345_at	0.736407161040751	0.676204689382856	0.1
ENSG00000003056	M6PR	200901_s_at	NA	-0.0479015097419209	0
ENSG00000003096	KLHL13	227875_at	0.0835609660050069	-3.01434030443176	-1.4
ENSG00000003137	CYP26B1	219825_at	0.551354854144641	-1.13272237569183	-0.2
ENSG00000003147	ICA1	207949_s_at	0.335212642205877	-1.72700365686754	-0.2
ENSG00000003249	DBNDD1	222234_s_at	0.506158463056609	-1.24204158480749	-0.2
ENSG00000003393	ALS2	226291_at	0.225971956078607	2.11347350591388	0.4
ENSG00000003400	CASP10	210708_x_at	NA	-0.551811234337859	-0.1
ENSG00000003402	CFLAR	211316_x_at	0.705552842795819	0.745946924588221	0.1
ENSG00000003436	TFPI	213258_at	0.852536365552687	0.409886342307134	0.1
ENSG00000003509	NDUFAF7	223560_s_at	0.242644638355295	-2.04123080017012	-0.2
ENSG00000003756	RBM5	201395_at	NA	1.76648194625985	0.2
