Gene ID	Gene Name	Design Element	g2_g1.p-value	g2_g1.t-statistic	g2_g1.log2foldchange	g4_g3.p-value	g4_g3.t-statistic	g4_g3.log2foldchange
ENSG00000000003	TSPAN6	g2995860_3p_at	NA	1.70352437417727	1	0.522520024655024	1.24113716598108	0.9
ENSG00000000005	TNMD	g11545882_3p_at	NA	-0.329159128757622	-0.1	NA	0.575565498397086	0.1
ENSG00000000419	DPM1	g4503362_3p_at	NA	2.28699369740114	2	0.997115080806375	-0.00618096624898155	0
ENSG00000000457	SCYL3	g9967093_3p_s_at	NA	1.76257845286479	1.6	0.72387192187063	0.678924841928849	0.4
ENSG00000000460	C1orf112	g8922604_3p_a_at	NA	-1.01864627491501	-0.1	NA	-0.285731952362129	-0.1
ENSG00000000938	FGR	g4885234_3p_a_at	NA	-3.09830000887381	-0.9	NA	-1.48353104646563	-0.4
ENSG00000000971	CFH	Hs.250651.2.S1_3p_at	NA	-3.53882068301016	-0.8	NA	-2.52563633957487	-0.5
ENSG00000001036	FUCA2	g13111747_3p_at	NA	1.15584480584703	0.7	0.989174753197963	0.0259044759636906	0
ENSG00000001084	GCLC	g4557624_3p_a_at	NA	2.06801541143323	0.6	NA	0.556977471717539	0.2
ENSG00000001167	NFYA	Hs.797.2.A1_3p_a_at	NA	-1.49585928540306	-0.3	NA	0.921437416362696	0.2
ENSG00000001460	STPG1	Hs.306826.0.S1_3p_at	NA	0.123743724463919	0.1	NA	-1.10105408877758	-0.4
ENSG00000001461	NIPAL3	Hs.13804.1.A1_3p_at	NA	2.28220433259437	0.6	NA	2.91871660735347	0.6
ENSG00000001497	LAS1L	Hs.104432.0.A1_3p_at	NA	1.7740586128947	0.7	0.64643145558613	0.881536632495059	0.4
ENSG00000001561	ENPP4	Hs.54037.0.S1_3p_a_at	NA	1.76166448748585	1.7	0.28640321311187	2.24572848176316	1.8
ENSG00000001617	SEMA3F	35666_3p_at	NA	-2.08408669969265	-0.9	NA	-1.17230443465168	-0.5
ENSG00000001626	CFTR	g6995995_3p_at	NA	0.255559711635636	0	NA	-0.246833116252909	-0.1
ENSG00000001629	ANKIB1	Hs.83293.0.S2_3p_at	NA	2.56690534274706	1.4	NA	0.989097626395336	0.3
ENSG00000002016	RAD52	g4506394_3p_at	NA	0.519198513128491	0.1	0.692754602789227	-0.763569554217838	-0.4
ENSG00000002079	MYH16	Hs2.406716.1.S1_3p_at	NA	-1.68482188074001	-0.2	NA	1.41834343553092	0.2
ENSG00000002330	BAD	g1683636_3p_s_at	NA	0.0999093053927525	0	NA	-0.0618167090375145	0
ENSG00000002549	LAP3	g7705687_3p_s_at	NA	1.72453759148969	0.4	NA	0.313023254501241	0.1
ENSG00000002586	CD99	g4505182_3p_a_at	NA	-2.14098943435951	-1.4	NA	-0.431612636470337	-0.1
ENSG00000002587	HS3ST1	Hs.40968.0.A1_3p_x_at	NA	-3.08980321147239	-0.5	NA	-0.759112735546308	-0.2
ENSG00000002726	AOC1	g4501850_3p_a_at	NA	-1.16660066780569	-0.2	NA	-0.0564025176210894	0
ENSG00000002745	WNT16	g7706772_3p_a_at	NA	-1.68395562540861	-0.3	NA	0.61985049375962	0.2
ENSG00000002746	HECW1	Hs.287538.0.S1_3p_at	NA	-1.11302363352127	-0.4	NA	-0.882166445906581	-0.3
ENSG00000002834	LASP1	g5453709_3p_at	NA	2.02944337598632	0.5	NA	1.68757556051615	0.5
ENSG00000002919	SNX11	g7019538_3p_s_at	NA	0.0206200801533455	0	NA	-1.23398223900762	-0.3
ENSG00000002933	TMEM176A	g8923717_3p_at	NA	-1.72509329585	-0.5	NA	-0.427468280476716	-0.1
ENSG00000003056	M6PR	Hs.75709.0.S1_3p_a_at	NA	0.833139217234819	0.3	NA	3.83822996534047	1
ENSG00000003096	KLHL13	Hs.106283.4.S1_3p_at	0.0498450863836034	3.0589888923406	3.6	0.13534162017068	4.36285494777547	2.3
ENSG00000003137	CYP26B1	Hs.91546.1.S1_3p_a_at	NA	-1.36011771234319	-0.4	NA	-0.0710344367167041	0
ENSG00000003147	ICA1	g437366_3p_a_at	NA	-0.666820350049223	-0.1	NA	0.337418039728472	0.1
ENSG00000003249	DBNDD1	Hs.301394.1.A1_3p_a_at	NA	-0.887318531982445	-0.2	NA	-0.552730378957326	-0.1
ENSG00000003393	ALS2	Hs.27669.0.S1_3p_at	NA	2.91087461717906	1.6	NA	0.992186572995547	0.3
ENSG00000003400	CASP10	g1835778_3p_at	NA	-1.99868539676348	-0.5	NA	-0.390551227714294	-0.1
ENSG00000003402	CFLAR	g2429153_3p_at	NA	-0.94012152029637	-0.6	0.643446262996987	-0.890547038530556	-0.7
ENSG00000003436	TFPI	g4103170_3p_a_at	NA	-3.38472309542141	-0.7	NA	-1.58371577676385	-0.4
ENSG00000003509	NDUFAF7	230379_3p_x_at	NA	2.26649826765367	1.2	0.570973459795732	1.102749029945	0.5
ENSG00000003756	RBM5	g5032030_3p_at	NA	2.63364037989511	1.8	NA	1.08943584625292	0.4
ENSG00000003987	MTMR7	Hs.259706.0.S1_3p_at	NA	-1.36599661568247	-0.3	NA	-1.23964225828388	-0.2
ENSG00000003989	SLC7A2	Hs.93961.0.A1_3p_at	NA	-1.6519434509179	-0.3	NA	-1.49859275619167	-0.2
ENSG00000004139	SARM1	Hs.306884.0.S1_3p_x_at	NA	-1.51926557211992	-0.6	NA	0.643929883278123	0.2
ENSG00000004142	POLDIP2	g7661671_3p_a_at	NA	1.7270851425356	1	NA	0.275716896486767	0.1
ENSG00000004399	PLXND1	Hs.301685.0.S1_3p_s_at	NA	-1.5406187681987	-1.1	NA	-0.550307746136189	-0.1
ENSG00000004455	AK2	g1209686_3p_x_at	NA	0.270244974681401	0.2	NA	2.31291228381872	0.9
ENSG00000004468	CD38	g4502664_3p_a_at	NA	-1.89120665112293	-0.3	NA	-0.387669532914771	-0.1
